# CSV-File created with merge-csv.com
# -----------------------------------------------------------

Date,Product,Units_Sold,Unit_Price,Total_Revenue
2025-07-31,Geometry Box,7,120,840
2025-08-01,Pencil,76,5,380
2025-08-01,Pen,49,10,490
2025-08-01,Notebook,48,25,1200
2025-08-01,Eraser,51,4,204
2025-08-01,Marker,31,15,465
2025-08-01,Highlighter,28,18,504
2025-08-01,Ruler,27,12,324
2025-08-01,Sharpener,30,8,240
2025-08-01,Stapler,5,60,300
2025-08-01,Glue Stick,10,20,200
2025-08-01,Drawing Sheet Pack,9,40,360
2025-08-01,Geometry Box,6,120,720
2025-08-02,Pencil,52,5,260
2025-08-02,Pen,39,10,390
2025-08-02,Notebook,29,25,725
2025-08-02,Eraser,28,4,112
2025-08-02,Marker,18,15,270
2025-08-02,Highlighter,13,18,234
2025-08-02,Ruler,12,12,144
2025-08-02,Sharpener,14,8,112
2025-08-02,Stapler,4,60,240
2025-08-02,Glue Stick,9,20,180
2025-08-02,Drawing Sheet Pack,5,40,200
2025-08-02,Geometry Box,6,120,720
2025-08-03,Pencil,52,5,260
2025-08-03,Pen,45,10,450
2025-08-03,Notebook,24,25,600
2025-08-03,Eraser,35,4,140
2025-08-03,Marker,18,15,270
2025-08-03,Highlighter,16,18,288
2025-08-03,Ruler,20,12,240
2025-08-03,Sharpener,17,8,136
2025-08-03,Stapler,6,60,360
2025-08-03,Glue Stick,7,20,140
2025-08-03,Drawing Sheet Pack,6,40,240
2025-08-03,Geometry Box,5,120,600
2025-08-04,Pencil,65,5,325
2025-08-04,Pen,84,10,840
2025-08-04,Notebook,46,25,1150
2025-08-04,Eraser,44,4,176
2025-08-04,Marker,33,15,495
2025-08-04,Highlighter,28,18,504
2025-08-04,Ruler,24,12,288
2025-08-04,Sharpener,20,8,160
2025-08-04,Stapler,6,60,360
2025-08-04,Glue Stick,12,20,240
2025-08-04,Drawing Sheet Pack,9,40,360
2025-08-04,Geometry Box,7,120,840
2025-08-05,Pencil,74,5,370
2025-08-05,Pen,53,10,530
2025-08-05,Notebook,44,25,1100
2025-08-05,Eraser,52,4,208
2025-08-05,Marker,33,15,495
2025-08-05,Highlighter,28,18,504
2025-08-05,Ruler,24,12,288
2025-08-05,Sharpener,28,8,224
2025-08-05,Stapler,7,60,420
2025-08-05,Glue Stick,9,20,180
2025-08-05,Drawing Sheet Pack,10,40,400
2025-08-05,Geometry Box,6,120,720
2025-08-06,Pencil,75,5,375
2025-08-06,Pen,53,10,530
2025-08-06,Notebook,35,25,875
2025-08-06,Eraser,56,4,224
2025-08-06,Marker,30,15,450
2025-08-06,Highlighter,26,18,468
2025-08-06,Ruler,22,12,264
2025-08-06,Sharpener,27,8,216
2025-08-06,Stapler,8,60,480
2025-08-06,Glue Stick,11,20,220
2025-08-06,Drawing Sheet Pack,10,40,400
2025-08-06,Geometry Box,6,120,720
2025-08-07,Pencil,67,5,335
2025-08-07,Pen,63,10,630
2025-08-07,Notebook,43,25,1075
2025-08-07,Eraser,45,4,180
2025-08-07,Marker,36,15,540
2025-08-07,Highlighter,21,18,378
2025-08-07,Ruler,21,12,252
2025-08-07,Sharpener,25,8,200
2025-08-07,Stapler,9,60,540
2025-08-07,Glue Stick,12,20,240
2025-08-07,Drawing Sheet Pack,11,40,440
2025-08-07,Geometry Box,5,120,600
2025-08-08,Pencil,75,5,375
2025-08-08,Pen,75,10,750
2025-08-08,Notebook,43,25,1075
2025-08-08,Eraser,56,4,224
2025-08-08,Marker,28,15,420
2025-08-08,Highlighter,29,18,522
2025-08-08,Ruler,29,12,348
2025-08-08,Sharpener,25,8,200
2025-08-08,Stapler,7,60,420
2025-08-08,Glue Stick,15,20,300
2025-08-08,Drawing Sheet Pack,12,40,480
2025-08-08,Geometry Box,6,120,720
2025-08-09,Pencil,45,5,225
2025-08-09,Pen,42,10,420
2025-08-09,Notebook,22,25,550
2025-08-09,Eraser,28,4,112
2025-08-09,Marker,17,15,255
2025-08-09,Highlighter,14,18,252
2025-08-09,Ruler,14,12,168
2025-08-09,Sharpener,18,8,144
2025-08-09,Stapler,6,60,360
2025-08-09,Glue Stick,7,20,140
2025-08-09,Drawing Sheet Pack,7,40,280
2025-08-09,Geometry Box,4,120,480
2025-08-10,Pencil,48,5,240
2025-08-10,Pen,48,10,480
2025-08-10,Notebook,23,25,575
2025-08-10,Eraser,34,4,136
2025-08-10,Marker,20,15,300
2025-08-10,Highlighter,17,18,306
2025-08-10,Ruler,15,12,180
2025-08-10,Sharpener,24,8,192
2025-08-10,Stapler,4,60,240
2025-08-10,Glue Stick,7,20,140
2025-08-10,Drawing Sheet Pack,6,40,240
2025-08-10,Geometry Box,4,120,480
2025-08-11,Pencil,65,5,325
2025-08-11,Pen,78,10,780
2025-08-11,Notebook,51,25,1275
2025-08-11,Eraser,44,4,176
2025-08-11,Marker,26,15,390
2025-08-11,Highlighter,26,18,468
2025-08-11,Ruler,20,12,240
2025-08-11,Sharpener,29,8,232
2025-08-11,Stapler,7,60,420
2025-08-11,Glue Stick,9,20,180
2025-08-11,Drawing Sheet Pack,12,40,480
2025-08-11,Geometry Box,8,120,960
2025-08-12,Pencil,65,5,325
2025-08-12,Pen,62,10,620
2025-08-12,Notebook,44,25,1100
2025-08-12,Eraser,50,4,200
2025-08-12,Marker,33,15,495
2025-08-12,Highlighter,31,18,558
2025-08-12,Ruler,21,12,252
2025-08-12,Sharpener,23,8,184
2025-08-12,Stapler,6,60,360
2025-08-12,Glue Stick,11,20,220
2025-08-12,Drawing Sheet Pack,10,40,400
2025-08-12,Geometry Box,8,120,960
2025-08-13,Pencil,66,5,330
2025-08-13,Pen,68,10,680
2025-08-13,Notebook,42,25,1050
2025-08-13,Eraser,57,4,228
2025-08-13,Marker,41,15,615
2025-08-13,Highlighter,22,18,396
2025-08-13,Ruler,20,12,240
2025-08-13,Sharpener,31,8,248
2025-08-13,Stapler,8,60,480
2025-08-13,Glue Stick,15,20,300
2025-08-13,Drawing Sheet Pack,10,40,400
2025-08-13,Geometry Box,6,120,720
2025-08-14,Pencil,78,5,390
2025-08-14,Pen,77,10,770
2025-08-14,Notebook,47,25,1175
2025-08-14,Eraser,52,4,208
2025-08-14,Marker,35,15,525
2025-08-14,Highlighter,28,18,504
2025-08-14,Ruler,26,12,312
2025-08-14,Sharpener,29,8,232
2025-08-14,Stapler,7,60,420
2025-08-14,Glue Stick,12,20,240
2025-08-14,Drawing Sheet Pack,11,40,440
2025-08-14,Geometry Box,5,120,600
2025-08-15,Pencil,76,5,380
2025-08-15,Pen,62,10,620
2025-08-15,Notebook,42,25,1050
2025-08-15,Eraser,57,4,228
2025-08-15,Marker,31,15,465
2025-08-15,Highlighter,24,18,432
2025-08-15,Ruler,17,12,204
2025-08-15,Sharpener,29,8,232
2025-08-15,Stapler,8,60,480
2025-08-15,Glue Stick,16,20,320
2025-08-15,Drawing Sheet Pack,9,40,360
2025-08-15,Geometry Box,6,120,720
2025-06-01,3692
2025-06-02,4797
2025-06-03,5070
2025-06-04,5063
2025-06-05,5383
2025-06-06,5470
2025-06-07,3455
2025-06-08,3472
2025-06-09,5359
2025-06-10,5387
2025-06-11,5521
2025-06-12,5119
2025-06-13,5135
2025-06-14,3733
2025-06-15,3738
2025-06-16,5199
2025-06-17,5489
2025-06-18,5816
2025-06-19,5185
2025-06-20,5341
2025-06-21,3648
2025-06-22,3327
2025-06-23,5429
2025-06-24,5585
2025-06-25,5555
2025-06-26,5604
2025-06-27,5940
2025-06-28,3676
2025-06-29,3340
2025-06-30,5300
2025-07-01,7266
2025-07-02,7450
2025-07-03,7141
2025-07-04,6836
2025-07-05,4930
2025-07-06,4814
2025-07-07,7276
2025-07-08,6737
2025-07-09,7002
2025-07-10,7212
2025-07-11,6748
2025-07-12,4826
2025-07-13,4485
2025-07-14,6549
2025-07-15,6726
2025-07-16,6871
2025-07-17,7179
2025-07-18,6222
2025-07-19,4614
2025-07-20,4639
2025-07-21,7289
2025-07-22,7741
2025-07-23,6585
2025-07-24,6572
2025-07-25,7553
2025-07-26,4390
2025-07-27,4614
2025-07-28,6994
2025-07-29,7048
2025-07-30,7194
2025-07-31,6450
2025-08-01,5387
2025-08-02,3587
2025-08-03,3724
2025-08-04,5738
2025-08-05,5439
2025-08-06,5222
2025-08-07,5410
2025-08-08,5834
2025-08-09,3386
2025-08-10,3509
2025-08-11,5926
2025-08-12,5674
2025-08-13,5687
2025-08-14,5816
2025-08-15,5491
Notebook,81025
Geometry Box,57480
Pen,49790
Highlighter,34740
Marker,34500
Stapler,32880
Drawing Sheet Pack,29640
Pencil,27980
Ruler,20652
Glue Stick,18620
Sharpener,16344
Eraser,14960
